安徽	ān huī
甘孜	gān zī
阿坝	ā bà
凉山	liáng shān
云南	yún nán
昆明	kūn míng
曲靖	qǔ jìng
玉溪	yù xī
保山	bǎo shān
保山	zhāo tōng
丽江	lì jiāng
普洱	pǔ ěr
临沧	lín cāng
德宏	dé hón
怒江	nù jiāng
迪庆	dí qìng
大理	dà lǐ
楚雄	chǔ xióng
红河	hóng hé
文山	wén shān
西双版纳	xī shuāng bǎn nà
浙江	zhè jiāng
杭州	háng zhōu
宁波	níng bō
湖州	húz hōu
嘉兴	jiā xīng
金华	jīn huá
丽水	lí shuǐ
衢州	qú zhōu
绍兴	shào xīng
台州	tāi zhōu
温州	wēn zhōu
舟山	zhōu shān
台湾	tái wān
台北	tái běi
新北	xīn běi
桃园	táo yuán
台中	tái zhōng
台南	tái nán
高雄	gāo xióng
基隆	jī lóng
嘉义	jiā yì
新竹	xīn zhú
苗栗	miáo lì
彰化	zhāng huà
云林	yún lín
屏东	píng dōng
宜兰	yí lán
南投	nán tóu
花莲	huā lián
台东	tái dōng
澎湖	péng hú
广西	guǎng xī
百色	bǎi sè
河池	hé chí
柳州	liǔ zhōu
桂林	guì lín
贺州	hè zhōu
崇左	chóng zuǒ
南宁	nán níng
来宾	lái bīn
贵港	guì gǎng
梧州	wú zhōu
防城港	fáng chéng gǎng
钦州	qīn zhōu
北海	běi hǎi
玉林	yù lín
内蒙古	nèi méng gǔ
巴彦淖尔	bā yàn nào ěr
乌海	wū hǎi
鄂尔多斯	è ěr duō sī
包头	bāo tóu
呼和浩特	hū hé hào tè
乌兰察布	wū lán chá bù
赤峰	chì fēng
通辽	tōng liáo
呼伦贝尔	hū lún bèi ěr
阿拉善	ā lā shàn
锡林郭勒	xī lín guō lè
兴安	xīng ān
宁夏	níng xià
银川	yín chuān
石嘴山	shí zuǐ shān
吴忠	wú zhōng
固原	gù yuán
中卫	zhōng wèi
新疆	xīn jiāng
维吾尔	wéi wú ěr
乌鲁木齐	wū lǔ mùq í
克拉玛依	kè lā mǎ yī
吐鲁番	tǔ lǔ fān
哈密	hā mì
阿勒泰	ā lè tài
塔城	tǎ chéng
喀什	kā shí
阿克苏	ā kè sū
和田	hé tián
伊犁哈萨克	yī lí hā sà kè
博尔塔拉	bó ěr tǎ lā
昌吉	chāng jí
克孜勒苏柯尔克孜	kè zī lè sū kē ěr kè zī
